,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type,country
0,1.52213,0.0,3.82,0.47,71.77,0.11,7.325409836065571,0.0,0.0,1,uk
1,1.51994,13.27,0.0,0.0,68.1128125,0.47,0.0,0.0,0.0,5,uk
2,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.0,0.14,2,uk
3,1.51831,14.39,0.0,1.82,72.86,1.41,0.0,2.88,0.0,7,uk
4,1.52667,0.0,0.0,0.71,71.57,0.02,0.0,0.0,0.0,1,uk
5,1.3012396825396826,14.32,3.26,2.22,0.0,0.0,5.79,1.63,0.0453125,7,uk
6,1.4986494935752077,12.61,3.59,1.31,73.29,0.58,7.325409836065571,0.22295081967213115,0.0,1,uk
7,1.51646,13.04,3.4,1.26,73.01,0.0,8.58,0.0,0.0,3,uk
8,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,1,uk
9,1.51796,13.5,3.36,1.63,0.0,0.57,7.325409836065571,0.0,0.09,3,uk
10,1.51727,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0,7,uk
11,1.3012396825396826,11.794285714285712,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1,uk
12,1.4902480853174602,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,2,uk
13,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,3,uk
14,1.51783,12.69,2.2717241379310344,1.34,72.95,0.0,7.325409836065571,0.0,0.0,1,uk
15,1.51627,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0,2,uk
16,1.51708,13.72,0.0,0.0,72.06,0.64,7.88,0.0,0.0,2,uk
17,1.51658,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0,7,uk
18,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.22295081967213115,0.0,1,uk
19,1.516575,11.794285714285712,0.0,3.04,70.48,0.48621212121212126,0.0,0.0,0.0,5,uk
20,1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0,7,uk
21,1.51748,12.86,3.56,1.27,0.0,0.54,0.0,0.0,0.0453125,1,uk
22,1.4902480853174602,0.0,2.2717241379310344,1.51,73.12,0.69,7.96,0.0,0.0,2,uk
23,1.51685,11.794285714285712,0.0,1.99,73.06,0.0,0.0,1.59,0.0,7,uk
24,1.51977,11.794285714285712,3.58,1.32,71.72,0.12,8.67,0.69,0.0,1,uk
25,1.51839,12.85,3.67,1.24,72.57,0.48621212121212126,8.68,0.0,0.35,2,uk
26,1.51937,13.79,0.0,1.19,72.76,0.0,9.77,0.0,0.0,6,uk
27,1.51775,12.85,2.2717241379310344,1.23,0.0,0.61,0.0,0.09,0.22,1,uk
28,1.52211,14.19,3.78,0.91,71.36,0.23,7.325409836065571,0.0,0.0,3,uk
29,1.4902480853174602,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2,uk
30,1.3012396825396826,11.794285714285712,1.01,1.36,68.1128125,0.33,7.325409836065571,0.0,0.0,2,uk
31,1.3012396825396826,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1,uk
32,1.52101,13.64,0.0,1.1,71.78,0.06,8.75,0.0,0.0,1,uk
33,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,7,uk
34,1.5161,13.33,3.53,1.2743939393939387,68.1128125,0.56,8.33,0.0,0.0,3,uk
35,1.52121,14.03,2.2717241379310344,0.58,71.79,0.11,9.65,0.0,0.0,3,uk
36,1.51569,13.24,0.0,1.47,73.25,0.38,8.03,0.0,0.0,2,uk
37,1.51905,0.0,3.62,1.11,72.64,0.14,8.76,0.0,0.0,1,uk
38,1.51892,13.46,3.83,0.0,68.1128125,0.57,8.21,0.0,0.14,2,uk
39,1.51593,0.0,3.45,1.43,73.17,0.61,7.325409836065571,0.0,0.0,2,uk
40,1.5164,12.55,0.0,1.87,73.23,0.63,8.08,0.0,0.09,2,uk
41,1.4986494935752077,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24,1,uk
42,1.3012396825396826,12.93,2.2717241379310344,1.56,68.1128125,0.58,8.55,0.0,0.12,2,uk
43,1.4902480853174602,11.794285714285712,2.2717241379310344,1.41,72.33,0.0,8.31,0.0,0.1,2,uk
44,1.51674,12.87,0.0,0.0,73.14,0.65,7.99,0.22295081967213115,0.0,2,uk
45,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0453125,1,uk
46,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.22295081967213115,0.19,1,uk
47,1.3012396825396826,0.0,0.0,0.0,75.18,2.7,8.93,0.0,0.0,7,uk
48,1.52222,14.43,0.0,1.0,72.67,0.1,11.52,0.0,0.08,2,uk
49,1.4902480853174602,0.0,3.98,1.18,72.49,0.58,8.15,0.22295081967213115,0.0,2,uk
50,1.52196,14.36,2.2717241379310344,0.0,71.36,0.15,9.15,0.0,0.0,1,uk
51,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,2,uk
52,1.51299,0.0,1.74,0.0,74.55,0.0,7.59,0.0,0.0,6,uk
53,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6,uk
54,1.52172,13.51,2.2717241379310344,0.88,71.79,0.48621212121212126,9.54,0.0,0.11,1,uk
55,1.51683,14.56,0.0,1.98,73.29,0.0,0.0,1.57,0.0453125,7,uk
56,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0.22295081967213115,0.0,2,uk
57,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.22295081967213115,0.0,1,uk
58,1.5159,12.82,3.52,1.2743939393939387,72.86,0.69,7.97,0.0,0.0453125,2,uk
59,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1,uk
60,1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.0,7,uk
61,1.51776,13.53,2.2717241379310344,1.52,72.04,0.58,8.79,0.0,0.0,3,uk
62,1.51589,12.88,2.2717241379310344,0.0,73.28,0.0,8.05,0.0,0.24,1,uk
63,1.51966,14.77,3.75,0.29,72.02,0.0,9.0,0.0,0.0,1,uk
64,1.4902480853174602,12.89,3.62,1.57,72.96,0.61,7.325409836065571,0.0,0.0,2,uk
65,1.51321,13.0,2.2717241379310344,3.02,70.7,6.21,0.0,0.0,0.0,5,uk
66,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,2,uk
67,1.52127,14.32,3.9,1.2743939393939387,71.5,0.0,9.49,0.0,0.0,3,uk
68,1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.22295081967213115,0.11,1,uk
69,1.53393,0.0,0.0,1.0,70.16,0.12,16.19,0.0,0.24,2,us
70,1.4834838441558442,13.21,3.77,0.79,71.99,0.0,10.02,0.08145161290322579,0.0,1,us
71,1.52152,0.0,3.65,0.87,72.22,0.19,9.85,0.0,0.17,1,us
72,1.5164,14.37,0.0,2.74,72.85,0.0,9.45,0.54,0.055423728813559316,7,us
73,1.52065,14.36,0.0,2.02,73.42,0.0,0.0,0.08145161290322579,0.0,7,us
74,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,5,us
75,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,1,us
76,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0,2,us
77,1.51779,0.0,3.65,0.0,73.0,0.06,8.93,0.0,0.0,3,us
78,1.51806,13.0,3.8,1.08,73.07,0.56,0.0,0.0,0.0,2,us
79,1.51623,14.2,0.0,2.79,73.46,0.04,9.04,0.0,0.09,7,us
80,1.473984958041958,13.7,0.0,1.36,71.24,0.19,0.0,0.08145161290322579,0.1,2,us
81,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,3,us
82,1.51666,12.86,0.0,1.83,73.88,0.0,10.17,0.0,0.0,5,us
83,1.51969,0.0,0.0,0.56,73.48,0.0,11.22,0.0,0.0,6,us
84,1.51596,13.02,0.0,1.54,73.11,0.72,7.9,0.0,0.0,2,us
85,1.51732,14.95,0.0,1.8,67.26820895522387,0.0,8.61,1.55,0.0,7,us
86,1.5221,13.73,2.187258064516129,0.72,71.76,0.17,9.74,0.0,0.0,1,us
87,1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,7,us
88,1.352891272727273,13.88,1.78,0.0,73.1,0.0,8.67,0.76,0.0,7,us
89,1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,5,us
90,1.51574,14.86,3.67,0.0,71.87,0.0,7.36,0.0,0.055423728813559316,2,us
91,1.51747,12.84,3.5,1.14,0.0,0.0,8.55,0.0,0.0,1,us
92,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2,us
93,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,2,us
94,1.352891272727273,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2,us
95,1.352891272727273,13.1,3.97,1.19,72.44,0.6,8.43,0.0,0.0,2,us
96,1.51646,13.41,3.55,1.25,0.0,0.68,8.344126984126984,0.0,0.055423728813559316,2,us
97,1.352891272727273,13.42,3.4,0.0,72.69,0.59,8.32,0.0,0.0,3,us
98,1.51934,13.64,3.54,0.0,72.65,0.16,8.89,0.0,0.24,3,us
99,1.352891272727273,13.12,3.41,1.58,73.26,0.07,8.39,0.0,0.055423728813559316,2,us
